date,value
2015-Jan,5.7
2016-Jan,4.8
2017-Jan,4.7
2018-Jan,4.0
2019-Jan,4.0
2020-Jan,3.6
2021-Jan,6.4
2022-Jan,4.0
2023-Jan,3.5
2024-Jan,3.7
2025-Jan,4.0
2015-Feb,5.5
2016-Feb,4.9
2017-Feb,4.6
2018-Feb,4.1
2019-Feb,3.8
2020-Feb,3.5
2021-Feb,6.2
2022-Feb,3.8
2023-Feb,3.6
2024-Feb,3.9
2025-Feb,4.1
2015-Mar,5.4
2016-Mar,5.0
2017-Mar,4.4
2018-Mar,4.0
2019-Mar,3.8
2020-Mar,4.4
2021-Mar,6.1
2022-Mar,3.7
2023-Mar,3.5
2024-Mar,3.9
2025-Mar,
2015-Apr,5.4
2016-Apr,5.1
2017-Apr,4.4
2018-Apr,4.0
2019-Apr,3.7
2020-Apr,14.8
2021-Apr,6.1
2022-Apr,3.7
2023-Apr,3.4
2024-Apr,3.9
2025-Apr,
2015-May,5.6
2016-May,4.8
2017-May,4.4
2018-May,3.8
2019-May,3.6
2020-May,13.2
2021-May,5.8
2022-May,3.6
2023-May,3.6
2024-May,4.0
2025-May,
2015-Jun,5.3
2016-Jun,4.9
2017-Jun,4.3
2018-Jun,4.0
2019-Jun,3.6
2020-Jun,11.0
2021-Jun,5.9
2022-Jun,3.6
2023-Jun,3.6
2024-Jun,4.1
2025-Jun,
2015-Jul,5.2
2016-Jul,4.8
2017-Jul,4.3
2018-Jul,3.8
2019-Jul,3.7
2020-Jul,10.2
2021-Jul,5.4
2022-Jul,3.5
2023-Jul,3.5
2024-Jul,4.2
2025-Jul,
2015-Aug,5.1
2016-Aug,4.9
2017-Aug,4.4
2018-Aug,3.8
2019-Aug,3.6
2020-Aug,8.4
2021-Aug,5.1
2022-Aug,3.6
2023-Aug,3.7
2024-Aug,4.2
2025-Aug,
2015-Sep,5.0
2016-Sep,5.0
2017-Sep,4.3
2018-Sep,3.7
2019-Sep,3.5
2020-Sep,7.8
2021-Sep,4.7
2022-Sep,3.5
2023-Sep,3.8
2024-Sep,4.1
2025-Sep,
2015-Oct,5.0
2016-Oct,4.9
2017-Oct,4.2
2018-Oct,3.8
2019-Oct,3.6
2020-Oct,6.9
2021-Oct,4.5
2022-Oct,3.6
2023-Oct,3.9
2024-Oct,4.1
2025-Oct,
2015-Nov,5.1
2016-Nov,4.7
2017-Nov,4.2
2018-Nov,3.8
2019-Nov,3.6
2020-Nov,6.7
2021-Nov,4.2
2022-Nov,3.6
2023-Nov,3.7
2024-Nov,4.2
2025-Nov,
2015-Dec,5.0
2016-Dec,4.7
2017-Dec,4.1
2018-Dec,3.9
2019-Dec,3.6
2020-Dec,6.7
2021-Dec,3.9
2022-Dec,3.5
2023-Dec,3.8
2024-Dec,4.1
2025-Dec,
